name,group,display,image,birthday,keywords,genre
미연,(G)I-DLE,(G)I-DLE - 미연,https://i.namu.wiki/i/LqgKEVKrFNF3PJQCwt5BjdTyQieMbvzLJ7Gy_tKZXKsnQLdkifoKjDetOf4leBAuc59drfE_sDjHeSAQ28a2T_lspXbto-JSlWu8tC-BgrzEjsIciDo0zlrDTNkELhfCfjCYDFqsnECNJSQd83MUGw.webp,1997-01-31,"['(g)i-dle', '미연', '여자아이들', '(G)I-DLE', 'gidle', '아이들']",1
민니,(G)I-DLE,(G)I-DLE - 민니,https://i.namu.wiki/i/s_t-b9wrLQByqoljX5606pATihH0AROFYFh09InA9t6BZGlSrgStkNNiGrf5iqj6aBswUOQIkBNtsxoXKymk4KJ1hz7q9Q63pBJRAe59ruq-viRP_wMVjhYhfaITjm6ay7_VcSAUWYpQ27uKahr_xQ.webp,1997-10-23,"['(g)i-dle', '여자아이들', '(G)I-DLE', '민니', 'gidle', '아이들']",1
전소연,(G)I-DLE,(G)I-DLE - 전소연,https://i.namu.wiki/i/CAnW8TbQke983xjU8uhQp0bHAAyov0yLGp_KXBTQTZsAfZ4OtG3vAJLx98L_RYlQaQ6BrcMTy8-Jtp0R0mrMEJlMEQxn2y-TBXaCH_9k7m-OC-0j1UEtriGJbw2MMrugquJHVeGeDQBFt8VtzGc92A.webp,1998-08-26,"['(g)i-dle', '전전소연', '여자아이들', '(G)I-DLE', 'gidle', '아이들']",1
수진,(G)I-DLE,(G)I-DLE - 수진,https://i.namu.wiki/i/tNEwwtaCnAORcJR98KLtgY_fEtywxBtu6SNdlPZURNiLTUCBNDUS-xhqOzGVe3YByNZVLC_waS7lmwtlwswBI-O34ObnUiT86lRSLPv63tY-E5Lo95asEql39F-MjxrYJxulNEAwws5Je9XpB10anQ.webp,1998-03-09,"['(g)i-dle', '수진', '여자아이들', '(G)I-DLE', 'gidle', '아이들']",1
슈화,(G)I-DLE,(G)I-DLE - 슈화,https://i.namu.wiki/i/tLKSdSTDpGrOPd2mSlRx0LohHepe1KPXGvDqKJuNbb3xY0GpM4Yd2TL5oEPPULja8Xrh4UBelcNGpIYcWYwntVlxI0K05-sI-giFFNf255EVp2OwrM3I3e31Y3tngoT3ly_orDEV_ySDHeH_71WYqA.webp,2000-01-06,"['슈화', '(g)i-dle', '여자아이들', '(G)I-DLE', 'gidle', '아이들']",1
우기,(G)I-DLE,(G)I-DLE - 우기,https://i.namu.wiki/i/uAg4JgrZ_VNYNQrsZRHNbQ5Qns-nQyyBw_JlKfLH2Kbi8SzZMqO_0m2d9pp5f1Ucj5ffr1bhopVrPKZgQAMZhoVqdAYLTwLHklKPqQ1hfK3IUPJGaezklExIR3LwA4N68T3A0E5Qmc4bjOQlYodfeg.webp,1999-09-23,"['우기', '(g)i-dle', '여자아이들', '(G)I-DLE', 'gidle', '아이들']",1
김수민,+(KR)ystal Eyes,+(KR)ystal Eyes - 김수민,https://i.namu.wiki/i/UCmWBzR4-ftcMVM4P6KU5HLLjsI7r30GBmSokOdR4WxHh6h1662A3yiCb8wNc-MBrWYGvZPx4BoyX0Ljx50LJhG-c2xSkFn03-Q1vybwkF2zeWWovvyBNx-FAMc8Tba8EKZ0x2z-yqXDh20iMxKD3w.webp,2007-10-03,"['krystaleyes', '+(KR)YSTAL EYES', '김수민', '+(kr)ystal eyes', '+(KR)ystal Eyes']",1
김채연,+(KR)ystal Eyes,+(KR)ystal Eyes - 김채연,https://i.namu.wiki/i/jz128rKjD8HnGkBx1OALxzh6KvsyHMCJwkGAgZk2FihicLjnWxdT_u1mr5UFmf82wFrC10o2soJ48ZlAGT2mdK_qpk1TZKu7JBr4p3PzjbYktvqHiWBMDq4CRr4ncSlBf9tRrNOgF2BZORrFu6SDMA.webp,2004-12-04,"['krystaleyes', '+(KR)YSTAL EYES', '김채연', '+(kr)ystal eyes', '+(KR)ystal Eyes']",1
윤서연,+(KR)ystal Eyes,+(KR)ystal Eyes - 윤서연,https://i.namu.wiki/i/AHkzg1hXZAL79syqJlKAUjsAPsM5CWYV7szurNez6ALksYwidj7u5FeOROqxOWjbdlaXaHmcPsb-ZOwd5QbyZorqWDEZ80fS8s-VpxzgWq5PHWlZs5iM4Lm2J9g1lZwTO87TavyhtZcYAclv095qdQ.webp,2003-08-06,"['krystaleyes', '+(KR)YSTAL EYES', '+(kr)ystal eyes', '윤서연', '+(KR)ystal Eyes']",1
이지우,+(KR)ystal Eyes,+(KR)ystal Eyes - 이지우,https://i.namu.wiki/i/m2_hNBbDr2eAw9y4H9Dr4URQoIzOWAKR_d6afd0bIIf6_7TCQzQgotYDVdfNo37rX-8RLWlWMlxmv7OammbGYiQZj98XpYNKgzo0splJd2CihYQObOQ3DjIc3nQxAjO4B7G9FJJ0BheqHFha1pu_rg.webp,2005-10-24,"['krystaleyes', '+(KR)YSTAL EYES', '이지우', '+(kr)ystal eyes', '+(KR)ystal Eyes']",1
